Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,101.78,-123.340001,-90.0,top
C2,100n,C_0402_1005Metric,103.03,-123.910001,-90.0,top
C3,10u,C_0603_1608Metric,90.7,-121.3,-90.0,top
C4,100n,C_0402_1005Metric,91.9,-121.9,-90.0,top
C5,10u,C_0603_1608Metric,95.3,-121.4,-90.0,top
C6,1u,C_0603_1608Metric,96.8,-121.4,-90.0,top
C7,100n,C_0402_1005Metric,94.1,-121.9,-90.0,top
J1,RJ45_LED_Shielded,RJ45_Amphenol_RJHSE538X,110.184,-138.387501,180.0,top
J2,RJ45_LED_Shielded,RJ45_Amphenol_RJHSE538X,90.536,-138.4075,180.0,top
J3,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,110.41,-115.245,0.0,top
J4,Conn_01x05,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,95.74,-115.24,0.0,top
J5,VCC_IN,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,131.35,-134.405001,180.0,top
J6,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,105.88,-128.800001,180.0,top
R1,1k,R_0402_1005Metric,101.15,-128.750001,-90.0,top
R10,22R,R_0402_1005Metric,88.26,-126.4225,0.0,top
R11,22R,R_0402_1005Metric,88.27,-127.4225,180.0,top
R12,22R,R_0402_1005Metric,88.27,-128.5225,0.0,top
R13,0R,R_0603_1608Metric,85.1525,-130.8325,0.0,top
R14,0R,R_0603_1608Metric,85.1625,-129.3125,0.0,top
R17,1k,R_0402_1005Metric,94.509999,-131.25,0.0,top
R18,1k,R_0402_1005Metric,101.14,-130.720001,90.0,top
R2,120R,R_0603_1608Metric,113.6,-122.3,90.0,top
R3,120R,R_0603_1608Metric,112.0,-122.3,90.0,top
R4,1k,R_0402_1005Metric,87.95,-131.180001,180.0,top
R5,0R,R_0603_1608Metric,110.41,-122.27,90.0,top
R6,0R,R_0603_1608Metric,106.850001,-122.3,-90.0,top
R7,0R,R_0603_1608Metric,108.870001,-122.27,90.0,top
R8,0R,R_0603_1608Metric,105.3,-122.3,-90.0,top
R9,22R,R_0402_1005Metric,88.27,-125.4225,0.0,top
SW1,SW_DIP_x02,SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile,120.84,-119.39,-90.0,top
U1,CH334R,QSOP-16_3.9x4.9mm_P0.635mm,93.26,-125.6225,0.0,top
Y1,12Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,99.29,-123.590001,90.0,top
